el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
C,1,,,1140.64,,,2s2.2p2,3P,2,5,2s2.2p.6d,3F*,3,7,,6.29e+06,1.72e-03,3.22e-02,-2.066,C+,,T7333,,006001.000007,006001.000128,301162
C,1,,,1140.71,,,2s2.2p2,3P,2,5,2s2.2p.6d,3F*,2,5,,1.95e+05,3.80e-05,7.1e-04,-3.72,C,,T7333,,006001.000007,006001.000126,301164
C,1,,,1141.33,,,2s2.2p2,3P,1,3,2s2.2p.6d,1D*,2,5,,4.48e+05,1.46e-04,1.64e-03,-3.359,C,,T7333,,006001.000006,006001.000125,301161
C,1,,,1141.68,,,2s2.2p2,3P,2,5,2s2.2p.6d,1D*,2,5,,2.03e+05,3.97e-05,7.5e-04,-3.70,C,,T7333,,006001.000007,006001.000125,301160
C,1,,,1155.809,,,2s2.2p2,3P,0,1,2s2.2p.5d,3P*,1,3,,8.21e+06,4.93e-03,1.88e-02,-2.307,C+,,T7333,,006001.000001,006001.000114,33809
C,1,,,1155.979,,,2s2.2p2,3P,1,3,2s2.2p.5d,3P*,0,1,,3.74e+07,2.50e-03,2.85e-02,-2.125,B,,T7333,,006001.000006,006001.000115,33807
C,1,,,1156.028,,,2s2.2p2,3P,1,3,2s2.2p.5d,3P*,1,3,,1.14e+07,2.28e-03,2.60e-02,-2.166,B,,T7333,,006001.000006,006001.000114,33805
C,1,,,1156.18,,,2s2.2p2,3P,0,1,2s2.2p.5d,1P*,1,3,,1.35e+06,8.09e-04,3.08e-03,-3.092,C+,,T7333,,006001.000001,006001.000110,301159
C,1,,,1156.199,,,2s2.2p2,3P,1,3,2s2.2p.5d,3P*,2,5,,2.39e+06,8.00e-04,9.13e-03,-2.620,C+,,T7333,,006001.000006,006001.000113,33808
C,1,,,1156.389,,,2s2.2p2,3P,2,5,2s2.2p.5d,3P*,1,3,,1.51e+07,1.81e-03,3.45e-02,-2.042,B,,T7333,,006001.000007,006001.000114,33806
C,1,,,1156.40,,,2s2.2p2,3P,1,3,2s2.2p.5d,1P*,1,3,,8.1e+05,1.63e-04,1.86e-03,-3.311,C,,T7333,,006001.000006,006001.000110,301158
C,1,,,1156.560,,,2s2.2p2,3P,2,5,2s2.2p.5d,3P*,2,5,,2.69e+07,5.40e-03,1.03e-01,-1.569,B,,T7333,,006001.000007,006001.000113,33804
C,1,,,1156.76,,,2s2.2p2,3P,2,5,2s2.2p.5d,1P*,1,3,,3.3e+04,3.9e-06,7.5e-05,-4.71,D,,T7333,,006001.000007,006001.000110,301157
C,1,,,1157.19,,,2s2.2p2,3P,0,1,2s2.2p.6s,1P*,1,3,,1.45e+06,8.72e-04,3.32e-03,-3.059,C+,,T7333,,006001.000001,006001.000104,301155
C,1,,,1157.33,,,2s2.2p2,3P,2,5,2s2.2p.5d,1F*,3,7,,3.99e+06,1.12e-03,2.14e-02,-2.251,C+,,T7333,,006001.000007,006001.000105,301156
C,1,,,1157.41,,,2s2.2p2,3P,1,3,2s2.2p.6s,1P*,1,3,,7.50e+06,1.51e-03,1.72e-02,-2.345,C+,,T7333,,006001.000006,006001.000104,301154
C,1,,,1157.769,,,2s2.2p2,3P,1,3,2s2.2p.5d,3D*,2,5,,2.62e+07,8.78e-03,1.00e-01,-1.579,B+,,T7333,,006001.000006,006001.000102,33800
C,1,,,1157.77,,,2s2.2p2,3P,2,5,2s2.2p.6s,1P*,1,3,,2.50e+06,3.01e-04,5.74e-03,-2.822,C+,,T7333,,006001.000007,006001.000104,301153
C,1,1157.910,,1157.910,,150,2s2.2p2,3P,0,1,2s2.2p.5d,3D*,1,3,,3.52e+07,2.12e-02,8.09e-02,-1.673,B+,,T7333,L1113,006001.000001,006001.000099,33626
C,1,1158.019,,1158.019,,150,2s2.2p2,3P,2,5,2s2.2p.5d,3D*,3,7,,5.57e+07,1.57e-02,2.99e-01,-1.106,B+,,T7333,L1113,006001.000007,006001.000103,33627
C,1,1158.035,,1158.035,,150,2s2.2p2,3P,1,3,2s2.2p.6s,3P*,2,5,,3.10e+07,1.04e-02,1.19e-01,-1.506,B,,T7333,L1113,006001.000006,006001.000101,33628
C,1,,,1158.130,,,2s2.2p2,3P,1,3,2s2.2p.5d,3D*,1,3,,1.98e+07,3.98e-03,4.55e-02,-1.923,B+,,T7333,,006001.000006,006001.000099,33802
C,1,,,1158.132,,,2s2.2p2,3P,2,5,2s2.2p.5d,3D*,2,5,,2.58e+07,5.19e-03,9.90e-02,-1.586,B+,,T7333,,006001.000007,006001.000102,33801
C,1,,,1158.324,,,2s2.2p2,3P,0,1,2s2.2p.6s,3P*,1,3,,1.09e+07,6.56e-03,2.50e-02,-2.183,B,,T7333,,006001.000001,006001.000098,33799
C,1,,,1158.397,,,2s2.2p2,3P,2,5,2s2.2p.6s,3P*,2,5,,8.20e+06,1.65e-03,3.14e-02,-2.084,C+,,T7333,,006001.000007,006001.000101,33795
C,1,,,1158.492,,,2s2.2p2,3P,2,5,2s2.2p.5d,3D*,1,3,,6.3e+05,7.6e-05,1.45e-03,-3.420,C,,T7333,,006001.000007,006001.000099,33803
C,1,,,1158.544,,,2s2.2p2,3P,1,3,2s2.2p.6s,3P*,1,3,,3.36e+06,6.76e-04,7.73e-03,-2.693,C+,,T7333,,006001.000006,006001.000098,33796
C,1,,,1158.674,,,2s2.2p2,3P,1,3,2s2.2p.6s,3P*,0,1,,2.19e+07,1.47e-03,1.68e-02,-2.356,B,,T7333,,006001.000006,006001.000096,33798
C,1,,,1158.73,,,2s2.2p2,3P,1,3,2s2.2p.5d,3F*,2,5,,5.11e+06,1.72e-03,1.96e-02,-2.289,C+,,T7333,,006001.000006,006001.000095,301151
C,1,,,1158.907,,,2s2.2p2,3P,2,5,2s2.2p.6s,3P*,1,3,,8.37e+06,1.01e-03,1.93e-02,-2.296,C+,,T7333,,006001.000007,006001.000098,33797
