el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
N,2,,,533.581,,,2s2.2p2,3P,1,3,2s2.2p.3d,3D*,2,5,,3.29e+09,2.34e-01,1.23e+00,-0.154,B+,,T7333,,007002.000016,007002.000049,37999
N,2,,,533.650,,,2s2.2p2,3P,1,3,2s2.2p.3d,3D*,1,3,,1.70e+09,7.26e-02,3.83e-01,-0.662,B+,,T7333,,007002.000016,007002.000048,38002
N,2,,,533.729,,,2s2.2p2,3P,2,5,2s2.2p.3d,3D*,3,7,,4.24e+09,2.54e-01,2.23e+00,0.103,B+,,T7333,,007002.000017,007002.000050,37998
N,2,,,533.815,,,2s2.2p2,3P,2,5,2s2.2p.3d,3D*,2,5,,9.35e+08,3.99e-02,3.51e-01,-0.700,B+,,T7333,,007002.000017,007002.000049,38001
N,2,,,533.884,,,2s2.2p2,3P,2,5,2s2.2p.3d,3D*,1,3,,9.54e+07,2.45e-03,2.15e-02,-1.912,B+,,T7333,,007002.000017,007002.000048,38003
N,2,,,534.637,,,2s2.2p2,3P,1,3,2s2.2p.3d,1D*,2,5,,4.96e+06,3.55e-04,1.87e-03,-2.973,B,,T7333,,007002.000016,007002.000047,37997
N,2,,,534.872,,,2s2.2p2,3P,2,5,2s2.2p.3d,1D*,2,5,,7.14e+04,3.06e-06,2.70e-05,-4.815,B,,T7333,,007002.000017,007002.000047,302009
N,2,,,536.300,,,2s2.2p2,3P,1,3,2s2.2p.3d,3F*,2,5,,6.40e+06,4.60e-04,2.44e-03,-2.860,B+,,T7333,,007002.000016,007002.000044,37995
N,2,,,536.365,,,2s2.2p2,3P,2,5,2s2.2p.3d,3F*,3,7,,1.52e+07,9.18e-04,8.11e-03,-2.338,B+,,T7333,,007002.000017,007002.000045,37994
N,2,,,536.536,,,2s2.2p2,3P,2,5,2s2.2p.3d,3F*,2,5,,2.35e+06,1.01e-04,8.96e-04,-3.295,B+,,T7333,,007002.000017,007002.000044,37996
N,2,,,547.818,,,2s2.2p2,1D,2,5,2s2.2p.4s,1P*,1,3,,2.16e+08,5.83e-03,5.26e-02,-1.535,C,,T6385,,007002.000018,007002.000059,38053
N,2,,,559.762,,,2s2.2p2,1S,0,1,2s2.2p.4d,1P*,1,3,,1.14e+09,1.61e-01,2.96e-01,-0.794,B,,T5520,,007002.000019,007002.000090,38069
N,2,,,572.069,,,2s2.2p2,1D,2,5,2s2.2p.3d,1P*,1,3,,4.24e+05,1.25e-05,1.18e-04,-4.205,D,,T7333,,007002.000018,007002.000055,38052
