el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
C,1,2s2.2p.9p,1P,e,1,89232.41,,,,,,,,,,,006001.000202,197
C,1,2s2.2p.9p,3D,e,3,89299.10,,,,,,,,,,,006001.000203,198
C,1,2s2.2p.9p,1D,e,2,89350.10,,,,,,,,,,,006001.000204,199
C,1,2s2.2p.9p,1S,e,0,89381.61,,,,,,,,,,,006001.000205,200
C,1,2s2.2p.9d,1D*,o,2,89431.48,,,,,,,,,,,006001.000206,201
C,1,2s2.2p.9d,3F*,o,2,89447.4,],,,,,,,,,,006001.000207,202
C,1,2s2.2p.9d,3F*,o,3,89449.6,],,,,,,,,,,006001.000208,203
C,1,2s2.2p.10s,3P*,o,1,89451.82,,,,,,,,,,,006001.000209,204
C,1,2s2.2p.9d,3D*,o,1,89456.20,,,,,,,,,,,006001.000210,205
C,1,2s2.2p.9d,3D*,o,2,89510.43,],,,,,,,,,,006001.000211,206
C,1,2s2.2p.9d,3D*,o,3,89510.9,],,,,,,,,,,006001.000212,207
C,1,2s2.2p.10s,1P*,o,1,89514.90,,,,,,,,,,,006001.000213,208
C,1,2s2.2p.9d,1F*,o,3,89519.13,,,,,,,,,,,006001.000214,209
C,1,2s2.2p.9d,3P*,o,2,89522.4,],,,,,,,,,,006001.000215,210
C,1,2s2.2p.9d,1P*,o,1,89525.54,,,,,,,,,,,006001.000216,211
C,1,2s2.2p.10p,1P,e,1,89555.53,,,,,,,,,,,006001.000217,212
C,1,2s2.2p.10p,3D,e,3,89621.06,,,,,,,,,,,006001.000218,215
C,1,2s2.2p.10p,1S,e,0,89678.11,,,,,,,,,,,006001.000219,216
C,1,2s2.2p.10d,3F*,o,3,89711.40,,,,,,,,,,,006001.000220,218
C,1,2s2.2p.10d,3D*,o,1,89716.00,,,,,,,,,,,006001.000221,220
C,1,2s2.2p.10d,3D*,o,2,89772.87,,,,,,,,,,,006001.000222,221
C,1,2s2.2p.10d,3D*,o,3,89773.2,],,,,,,,,,,006001.000223,222
C,1,2s2.2p.10d,1F*,o,3,89779.40,,,,,,,,,,,006001.000224,223
C,1,2s2.2p.10d,1P*,o,1,89783.30,,,,,,,,,,,006001.000225,224
C,1,2s2.2p.11p,1P,e,1,89789.21,,,,,,,,,,,006001.000226,225
C,1,2s2.2p.11d,3F*,o,3,89904.80,,,,,,,,,,,006001.000227,226
C,1,2s2.2p.11d,3D*,o,1,89906.30,,,,,,,,,,,006001.000228,227
C,1,2s2.2p.11d,3D*,o,2,89966.66,,,,,,,,,,,006001.000229,228
C,1,2s2.2p.11d,3D*,o,3,89966.8,],,,,,,,,,,006001.000230,229
C,1,2s2.2p.11d,1F*,o,3,89971.3,],,,,,,,,,,006001.000231,230
C,1,2s2.2p.11d,1P*,o,1,89974.9,,,,,,,,,,,006001.000232,231
C,1,2s2.2p.12d,3F*,o,3,90051.6,,,,,,,,,,,006001.000233,232
C,1,2s2.2p.12d,3D*,o,1,90054.3,,,,,,,,,,,006001.000234,233
C,1,2s2.2p.13s,1P*,o,1,90116.4,,,,,,,,,,,006001.000235,234
C,1,2s2.2p.12d,1F*,o,3,90117.4,,,,,,,,,,,006001.000236,235
C,1,2s2.2p.12d,1P*,o,1,90119.8,,,,,,,,,,,006001.000237,236
C,1,2s2.2p.13d,3F*,o,3,90165.6,,,,,,,,,,,006001.000238,237
C,1,2s2.2p.13d,3D*,o,1,90168.8,,,,,,,,,,,006001.000239,238
C,1,2s2.2p.14s,1P*,o,1,90229.7,,,,,,,,,,,006001.000240,239
C,1,2s2.2p.13d,1F*,o,3,90230.7,,,,,,,,,,,006001.000241,240
C,1,2s2.2p.13d,1P*,o,1,90231.5,,,,,,,,,,,006001.000242,241
C,1,2s2.2p.14d,3F*,o,3,90256.4,,,,,,,,,,,006001.000243,242
C,1,2s2.2p.14d,3D*,o,1,90260.2,,,,,,,,,,,006001.000244,243
C,1,2s2.2p.14d,1F*,o,3,90320.3,,,,,,,,,,,006001.000245,244
C,1,2s2.2p.14d,1P*,o,1,90322.3,,,,,,,,,,,006001.000246,245
C,1,2s2.2p.15d,3F*,o,3,90329.4,,,,,,,,,,,006001.000247,246
C,1,2s2.2p.16d,3F*,o,3,90394.0,,,,,,,,,,,006001.000249,248
C,1,2s2.2p.15d,1F*,o,3,90394.0,,,,,,,,,,,006001.000248,247
