el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
N,2,2s2.2p.(2P*<3/2>).5g,2[9/2]*,o,4,221322.76,,,,,,,,,,,007002.000126,112
N,2,2s2.2p.(2P*<3/2>).5g,2[9/2]*,o,5,221322.86,,,,,,,,,,,007002.000127,113
N,2,2s2.2p.(2P*<3/2>).5g,2[7/2]*,o,3,221342.81,,,,,,,,,,,007002.000128,114
N,2,2s2.2p.(2P*<3/2>).5g,2[7/2]*,o,4,221343.00,,,,,,,,,,,007002.000129,115
N,2,2s2.2p.(2P*<3/2>).5f,2[3/2],e,1,221351.63,,,,,,,,,,,007002.000130,116
N,2,2s2.2p.(2P*<3/2>).5f,2[3/2],e,2,221354.47,,,,,,,,,,,007002.000131,117
N,2,2s2.2p.(2P*<3/2>).5g,2[11/2]*,o,5,221363.98,,,,,,,,,,,007002.000132,118
N,2,2s2.2p.(2P*<3/2>).5g,2[11/2]*,o,6,221364.00,,,,,,,,,,,007002.000133,119
N,2,2s2.2p.(2P*<3/2>).5g,2[5/2]*,o,2,221380.3,],,,,,,,,,,007002.000134,120
N,2,2s2.2p.(2P*<3/2>).5g,2[5/2]*,o,3,221380.3,],,,,,,,,,,007002.000135,120
N,2,2s2.2p.6s,3P*,o,1,222744.16,,,,,,,,,,,007002.000136,122
N,2,2s2.2p.6s,3P*,o,2,222878.39,,,,,,,,,,,007002.000137,123
N,2,2s.2p2.(4P).3p,3S*,o,1,223069.02,,,,,,,,,,,007002.000138,124
N,2,2s2.2p.6s,1P*,o,1,223101.82,,,,,,,,,,,007002.000139,125
N,2,2s.2p2.(4P).3p,5D*,o,0,223643.30,,,,,,,,,,,007002.000140,126
N,2,2s.2p2.(4P).3p,5D*,o,1,223658.55,,,,,,,,,,,007002.000141,127
N,2,2s.2p2.(4P).3p,5D*,o,2,223688.45,,,,,,,,,,,007002.000142,128
N,2,2s.2p2.(4P).3p,5D*,o,3,223731.59,,,,,,,,,,,007002.000143,129
N,2,2s.2p2.(4P).3p,5D*,o,4,223785.51,,,,,,,,,,,007002.000144,130
N,2,2s.2p2.(4P).3p,5P*,o,1,225603.50,,,,,,,,,,,007002.000145,131
N,2,2s.2p2.(4P).3p,5P*,o,2,225627.47,,,,,,,,,,,007002.000146,132
N,2,2s.2p2.(4P).3p,5P*,o,3,225671.22,,,,,,,,,,,007002.000147,133
N,2,2s2.2p.(2P*<1/2>).6f,2[5/2],e,3,226482.68,,,,,,,,,,,007002.000148,134
N,2,2s2.2p.(2P*<1/2>).6f,2[5/2],e,2,226484.64,,,,,,,,,,,007002.000149,135
N,2,2s2.2p.(2P*<1/2>).6f,2[7/2],e,3,226488.79,,,,,,,,,,,007002.000150,136
N,2,2s2.2p.(2P*<1/2>).6f,2[7/2],e,4,226492.09,,,,,,,,,,,007002.000151,137
N,2,2s2.2p.(2P*<3/2>).6f,2[7/2],e,3,226640.22,,,,,,,,,,,007002.000152,138
N,2,2s2.2p.(2P*<3/2>).6f,2[7/2],e,4,226643.25,,,,,,,,,,,007002.000153,139
N,2,2s2.2p.(2P*<3/2>).6f,2[5/2],e,3,226675.99,,,,,,,,,,,007002.000154,140
N,2,2s2.2p.(2P*<3/2>).6f,2[5/2],e,2,226678.4,,,,,,,,,,,007002.000155,141
N,2,2s2.2p.(2P*<3/2>).6f,2[9/2],e,5,226688.9,,,,,,,,,,,007002.000156,142
N,2,2s2.2p.(2P*<3/2>).6f,2[9/2],e,4,226696.2,,,,,,,,,,,007002.000157,143
N,2,2s2.2p.(2P*<3/2>).6f,2[3/2],e,1,226718.6,,,,,,,,,,,007002.000158,144
N,2,2s2.2p.(2P*<3/2>).6f,2[3/2],e,2,226720.8,,,,,,,,,,,007002.000159,145
N,2,2s.2p2.(4P).3p,3D*,o,1,228694.30,,,,,,,,,,,007002.000160,146
N,2,2s.2p2.(4P).3p,3D*,o,2,228731.81,,,,,,,,,,,007002.000161,147
N,2,2s.2p2.(4P).3p,3D*,o,3,228791.83,,,,,,,,,,,007002.000162,148
N,2,2s2.2p.(2P*<1/2>).7f,2[7/2],e,3,229748.9,,,,,,,,,,,007002.000163,149
N,2,2s2.2p.(2P*<1/2>).7f,2[7/2],e,4,229749.7,,,,,,,,,,,007002.000164,150
N,2,2s.2p2.(4P).3p,5S*,o,2,229838.96,,,,,,,,,,,007002.000165,151
N,2,2s2.2p.(2P*<3/2>).7f,2[7/2],e,4,229907.5,,,,,,,,,,,007002.000166,152
N,2,2s2.2p.(2P*<3/2>).7f,2[9/2],e,5,229938.1,,,,,,,,,,,007002.000167,153
N,2,2s2.2p.(2P*<3/2>).7f,2[9/2],e,4,229943.1,,,,,,,,,,,007002.000168,154
N,2,2s.2p2.(4P).3p,3P*,o,2,230831.74,,,,,,,,,,,007002.000169,157
N,2,N III (2p 2P*<1/2>),Limit,,,238750.2,],0.7,,,,,,,,L11770,007002.Lim001,158
N,2,N III (2p 2P*<3/2>),Limit,,,238924.86,,,,,,,,,,,007002.Lim002,159
N,2,2s.2p2.(4P).3d,5F,e,1,242969.16,,,,,,,,,,,007002.000172,160
